file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\MetricsTest\SS\mode\type\cluster\core\src\main\java\org\apache\shardingsphere\mode\manager\cluster\coordinator\registry\workerid\node\WorkerIdReservationNode.java,org.apache.shardingsphere.mode.manager.cluster.coordinator.registry.workerid.node.WorkerIdReservationNode,class,1,3,2,1,1,1,0,2,0,0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,0,2,0,0,2,0,2,7,1,0,0,0,0,4,0,2,0,2,0,0,0,0,22,17,0
C:\MetricsTest\SS\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\asserts\statement\dml\impl\CallStatementAssert.java,org.apache.shardingsphere.test.it.sql.parser.internal.asserts.statement.dml.impl.CallStatementAssert,class,12,14,2,12,16,1,0,18,6,0,NaN,NaN,4,4,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,49,0,2,3,0,2,4,2,4,0,4,3,0,0,0,41,17,0
C:\MetricsTest\SS\test\it\pipeline\src\test\java\org\apache\shardingsphere\test\it\data\pipeline\core\fixture\algorithm\FixtureTableInventoryChecker.java,org.apache.shardingsphere.test.it.data.pipeline.core.fixture.algorithm.FixtureTableInventoryChecker,class,2,3,1,2,3,1,0,0,3,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,17,0
C:\MetricsTest\SS\parser\sql\statement\src\test\java\org\apache\shardingsphere\sql\parser\sql\dialect\handler\ddl\DropSchemaStatementHandlerTest.java,org.apache.shardingsphere.sql.parser.sql.dialect.handler.ddl.DropSchemaStatementHandlerTest,class,4,4,0,4,3,1,0,4,3,0,0,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,3,0,3,0,0,0,0,20,0,0
C:\MetricsTest\SS\proxy\backend\core\src\test\java\org\apache\shardingsphere\proxy\backend\handler\distsql\ral\queryable\ShowComputeNodesExecutorTest.java,org.apache.shardingsphere.proxy.backend.handler.distsql.ral.queryable.ShowComputeNodesExecutorTest,class,13,14,1,13,4,1,0,20,6,0,0,0,4,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,56,2,0,0,0,0,27,22,13,0,13,0,0,0,0,37,0,0
C:\MetricsTest\SS\proxy\backend\type\hbase\src\main\java\org\apache\shardingsphere\proxy\backend\hbase\result\update\HBaseRegionReloadUpdater.java,org.apache.shardingsphere.proxy.backend.hbase.result.update.HBaseRegionReloadUpdater,class,8,10,2,8,6,1,0,18,6,0,0,0,4,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,23,3,1,0,0,0,3,1,2,0,2,2,0,0,1,34,17,0
C:\MetricsTest\SS\test\e2e\operation\transaction\src\test\java\org\apache\shardingsphere\test\e2e\transaction\framework\container\jdbc\ShardingSphereJDBCContainer.java,org.apache.shardingsphere.test.e2e.transaction.framework.container.jdbc.ShardingSphereJDBCContainer,class,3,4,1,3,6,1,0,4,4,0.5833333,0.16666667,0.16666667,4,0,4,0,0,0,4,0,0,0,3,0,0,3,0,0,3,0,0,26,2,0,1,1,0,1,0,4,0,4,2,0,0,0,38,17,0
C:\MetricsTest\SS\agent\plugins\tracing\core\src\main\java\org\apache\shardingsphere\agent\plugin\tracing\core\constant\AttributeConstants.java,org.apache.shardingsphere.agent.plugin.tracing.core.constant.AttributeConstants,class,1,1,0,1,0,1,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,11,11,11,0,0,0,11,0,0,13,0,0,0,0,0,11,0,11,0,11,0,0,0,0,22,17,0
C:\MetricsTest\SS\infra\database\core\src\main\java\org\apache\shardingsphere\infra\database\core\connector\ConnectionPropertiesParser.java,org.apache.shardingsphere.infra.database.core.connector.ConnectionPropertiesParser,interface,3,20,17,3,1,1,0,0,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0
C:\MetricsTest\SS\parser\sql\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\opengauss\ddl\OpenGaussFetchStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.opengauss.ddl.OpenGaussFetchStatement,class,2,2,0,2,0,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17,0
C:\MetricsTest\SS\parser\sql\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\doris\ddl\DorisDropFunctionStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.doris.ddl.DorisDropFunctionStatement,class,2,2,0,2,0,3,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,0
C:\MetricsTest\SS\parser\sql\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\statement\dal\SetStatement.java,org.apache.shardingsphere.sql.parser.sql.common.statement.dal.SetStatement,class,4,4,0,4,0,2,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1025,0
C:\MetricsTest\SS\infra\database\type\mysql\src\test\java\org\apache\shardingsphere\infra\database\mysql\metadata\database\object\MySQLObjectUniquenessLevelProviderTest.java,org.apache.shardingsphere.infra.database.mysql.metadata.database.object.MySQLObjectUniquenessLevelProviderTest,class,4,4,0,4,1,1,0,5,0,0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,15,0,0
C:\MetricsTest\SS\parser\sql\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\dialect\statement\sqlserver\ddl\SQLServerCreateTriggerStatement.java,org.apache.shardingsphere.sql.parser.sql.dialect.statement.sqlserver.ddl.SQLServerCreateTriggerStatement,class,2,2,0,2,0,2,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,17,0
C:\MetricsTest\SS\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\ddl\AssociateStatisticsStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.ddl.AssociateStatisticsStatementTestCase,class,11,11,0,11,0,2,0,0,0,NaN,-1,-1,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,0,7,0,0,9,0,0,0,0,0,7,0,7,0,7,0,0,0,0,20,17,0
C:\MetricsTest\SS\proxy\backend\type\hbase\src\main\java\org\apache\shardingsphere\proxy\backend\hbase\executor\HBaseTaskExecutorManager.java,org.apache.shardingsphere.proxy.backend.hbase.executor.HBaseTaskExecutorManager,class,0,1,1,0,3,1,0,2,0,0,1,1,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,2,1,0,1,0,0,0,0,19,17,0
C:\MetricsTest\SS\parser\sql\statement\src\main\java\org\apache\shardingsphere\sql\parser\sql\common\enums\OrderDirection.java,org.apache.shardingsphere.sql.parser.sql.common.enums.OrderDirection,enum,0,15,15,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0
